zip,donations,total,population,donations_pct
21108,6603,220072.7800000001,19136,345.0564381270903
21111,3969,93046.8800000003,5343,742.841100505334
21113,16279,444059.96000000014,35210,462.34024424879294
21114,8848,236144.47000000044,26460,334.3915343915344
21117,23052,657696.399999998,59663,386.37011212979564
21120,2596,77234.65999999997,6775,383.1734317343173
21122,9609,221055.7499999993,59664,161.0518905872888
21128,1908,49255.929999999986,13967,136.60771819288323
21130,7,225,104,67.3076923076923
21131,2873,130327.89000000012,7587,378.6740477131936
21132,185,6295.84,3162,58.50727387729285
21133,8682,146954.52000000025,32714,265.39096411322373
21136,11483,323548.850000002,34347,334.32323055870967
21140,1294,55152.62999999996,3862,335.0595546349042
21144,11718,222529.8500000001,35680,328.4192825112108
21146,13148,487095.9399999995,27634,475.79069262502713
21152,1796,80268.00000000007,5349,335.76369414843896
21153,1329,41921.91000000001,348,3818.9655172413795
21154,568,14000.14,6467,87.83052419978351
21155,578,15340.34,2363,244.6043165467626
21156,40,1304.9999999999998,371,107.8167115902965
21157,8691,202460.4400000002,38714,224.4924316784626
21158,4343,99560.21000000004,20773,209.06946517113562
21160,285,5854.12,2615,108.98661567877629
21161,1036,26816.29999999997,5738,180.55071453468108
21162,705,11934.46,4089,172.41379310344828
21163,4816,171400.08000000005,6602,729.475916388973
21201,6643,366729.6200000009,17534,378.8639215238964
21202,6148,382084.8500000009,21880,280.9872029250457
21204,12273,511605.4999999996,21518,570.359698856771
21205,1021,23248.110000000015,15900,64.21383647798743
21206,6518,111044.22,51670,126.14670021288948
21207,13152,198563.10000000015,50440,260.74544012688347
21208,21511,700900.8699999987,35273,609.8432228616789
21209,26774,644100.539999995,28621,935.4669648160442
21210,25454,1443604.7700000436,16076,1583.3540681761633
21211,13357,433904.2699999998,15735,848.8719415316174
21212,25556,1146181.100000002,33865,754.6434371770264
21213,3715,75637.8300000001,30596,121.42110079748987
21214,7525,156481.40000000066,21666,347.318379027047
21215,10084,148706.3900000006,55081,183.07583377208113
21216,3837,59446.779999999984,28733,133.53983224863399
21217,6787,338081.31999999844,32830,206.73164788303382
21218,31378,1018091.8099999998,46172,679.589361517803
21219,1232,28739.510000000017,9454,130.31521049291305
21220,3341,75693.55000000031,41067,81.35485913263692
21221,3250,65432.59999999995,41899,77.56748371082841
21222,3776,62814.88999999995,56946,66.30843255013522
21223,1598,27742.830000000005,21974,72.72230818239737
21224,12042,379731.1799999997,48770,246.91408652860363
21225,2446,27074.09999999997,33227,73.61483131188491
21226,636,12090.19,6699,94.93954321540528
21227,4190,96694.33000000005,33396,125.46412744041203
21228,26381,597323.7399999986,49438,533.617864800356
21229,8355,157636.48000000007,45983,181.69758388969836
21230,13266,623503.7299999964,33592,394.9154560609669
21231,7981,281612.8999999996,15906,501.7603420093046
21234,12937,250143.7600000003,68678,188.37182212644515
21236,5621,122992.59000000026,37803,148.6919027590403
21237,3793,79481.20000000007,31105,121.94180999839254
21239,11716,161538.66000000044,30143,388.68062236671864
21240,14,522,0,Inf
21244,9590,141657.7900000002,36897,259.91273003225194
21250,5,206,2443,2.046663937781416
21251,9,134,1652,5.447941888619854
21252,9,120,2040,4.411764705882353
21286,12808,415242.91999999946,19711,649.7894576632337
2129,2,12,20504,0.09754194303550527
2130,4,163.31,42021,0.09519049998810118
2134,1,100,19552,0.05114566284779051
21401,36733,1649639.400000007,38788,947.0196968134475
21402,172,9181.1,6460,26.625386996904027
21403,25115,1333098.2500000054,31218,804.5038119033891
21405,1726,51961.95999999998,398,4336.683417085427
21409,11407,445531.4299999982,19304,590.9138002486532
21502,7293,116830.50000000042,41735,174.74541751527494
2152,1,25,18558,0.05388511693070373
21520,197,8828.130000000001,2003,98.3524712930604
21521,53,890.1600000000001,1183,44.80135249366018
21523,6,46,180,33.333333333333336
21524,5,7,831,6.016847172081829
21529,33,886,467,70.66381156316918
21530,475,11216.91,1923,247.00988039521582
21531,191,4804.52,1744,109.5183486238532
21532,1754,43536.08000000003,14498,120.982204441992
21536,466,10208.63,3984,116.96787148594377
21538,17,85,525,32.38095238095238
21539,28,785.4200000000001,2664,10.510510510510512
21540,1,56.18,90,11.11111111111111
21541,381,19362.08,1536,248.046875
21545,55,972.24,1771,31.055900621118013
21550,1946,54859.00000000003,14327,135.82745864451735
21555,229,5493.5,1501,152.5649566955363
21557,71,1640.1999999999998,1592,44.597989949748744
21561,752,17515.689999999995,2392,314.38127090301003
21562,202,2810.76,3426,58.96088733216579
21601,15791,628699.1599999968,23338,676.6218184934442
21607,2,350,770,2.5974025974025974
21610,279,3615.8,412,677.1844660194175
21612,232,8710.380000000001,597,388.60971524288107
21613,3942,120616.02999999994,17115,230.3242769500438
21617,3054,57825.34999999997,10534,289.91835959749386
21619,3573,96216.21999999994,5789,617.2050440490585
21620,7513,422426.1699999993,12989,578.4125028870583
21622,17,546.72,704,24.147727272727273
21623,282,7916.639999999999,2248,125.44483985765126
21624,164,8929.2,115,1426.086956521739
21625,258,8292.2,2401,107.45522698875469
21627,4,28,4,1000
21628,119,2211.88,324,367.28395061728395
21629,1206,24259.210000000006,9464,127.43026204564667
21631,94,3551.46,2708,34.711964549483014
21632,758,8827.550000000001,5885,128.8020390824129
21635,611,12718.539999999995,1970,310.1522842639594
21636,58,1112,837,69.29510155316606
21638,1114,33617.01,5227,213.12416299980868
21639,559,10110.96,5410,103.3271719038817
21640,141,3286.5,1467,96.11451942740285
21641,17,197,87,195.40229885057474
21643,740,13598.149999999998,5956,124.24445936870383
21645,196,5711.840000000006,1345,145.724907063197
21647,635,15435.859999999995,357,1778.7114845938374
21648,4,240,126,31.746031746031743
21649,100,2484.55,2204,45.37205081669691
21650,222,8666,296,750
21651,297,5999.56,2683,110.69698099142751
21652,249,5809.5,149,1671.1409395973153
21653,75,1085,96,781.25
21654,6312,175200.69,1221,5169.533169533169
21655,427,15772.760000000002,4763,89.64938064245223
21657,61,2836.7200000000003,727,83.90646492434662
21658,916,52629.99000000004,4177,219.29614555901364
21659,1,10,1509,0.6626905235255136
