"County","County Name","Election District - Precinct","Congressional","Legislative","Office Name","Office District","Candidate Name","Party","Winner","Early Votes","Election Night Votes","Mail-In Ballot 1 Votes","Provisional Votes","Mail-In Ballot 2 Votes" 
"01","Allegany County","006-005","06","01B","REP Alternates","06","Randy Leatherman (Trump)","REP","Y","58","125","53","2","0" 
"01","Allegany County","006-005","06","01B","REP Alternates","06","Brian P. Sweeney (Haley)","REP","","13","33","14","3","0" 
"01","Allegany County","006-005","06","01B","REP Alternates","06","Seth Edward Wilson (Trump)","REP","Y","57","119","53","2","0" 
"01","Allegany County","006-006","06","01B","President - Vice Pres","","Nikki R. Haley","REP","","4","8","10","0","0" 
"01","Allegany County","006-006","06","01B","President - Vice Pres","","Donald J. Trump","REP","Y","17","136","27","5","0" 
"01","Allegany County","006-006","06","01B","President - Vice Pres","06","Nikki R. Haley","REP","","4","8","10","0","0" 
"01","Allegany County","006-006","06","01B","President - Vice Pres","06","Donald J. Trump","REP","Y","17","136","27","5","0" 
"01","Allegany County","006-006","06","01B","U.S. Senator","","Moe H. Barakat","REP","","0","0","0","0","0" 
"01","Allegany County","006-006","06","01B","U.S. Senator","","Chris Chaffee","REP","","0","10","0","0","0" 
"01","Allegany County","006-006","06","01B","U.S. Senator","","Robin Ficker","REP","","13","75","12","0","0" 
"01","Allegany County","006-006","06","01B","U.S. Senator","","Lorie R. Friend","REP","","1","6","2","0","0" 
"01","Allegany County","006-006","06","01B","U.S. Senator","","Larry Hogan","REP","Y","6","51","23","5","0" 
"01","Allegany County","006-006","06","01B","U.S. Senator","","John A. Myrick","REP","","1","3","0","0","0" 
"01","Allegany County","006-006","06","01B","U.S. Senator","","Laban Y. Seyoum","REP","","0","0","0","0","0" 
"01","Allegany County","006-006","06","01B","U.S. Congress","06","Dan Cox","REP","","3","43","10","1","0" 
"01","Allegany County","006-006","06","01B","U.S. Congress","06","Chris Hyser","REP","","1","1","4","1","0" 
"01","Allegany County","006-006","06","01B","U.S. Congress","06","Neil C. Parrott","REP","Y","11","89","16","0","0" 
"01","Allegany County","006-006","06","01B","U.S. Congress","06","Todd A. Puglisi","REP","","0","0","0","0","0" 
"01","Allegany County","006-006","06","01B","U.S. Congress","06","Mariela Roca","REP","","2","6","1","1","0" 
"01","Allegany County","006-006","06","01B","U.S. Congress","06","Tom Royals","REP","","3","0","0","0","0" 
"01","Allegany County","006-006","06","01B","U.S. Congress","06","Brenda J. Thiam","REP","","0","3","2","0","0" 
"01","Allegany County","006-006","06","01B","REP Delegates","06","Barrie S. Ciliberti (Trump)","REP","Y","16","128","26","5","0" 
"01","Allegany County","006-006","06","01B","REP Delegates","06","Jerry DeWolf (Trump)","REP","Y","17","128","27","5","0" 
"01","Allegany County","006-006","06","01B","REP Delegates","06","Derek J. Harvey (Trump)","REP","Y","16","128","26","5","0" 
"01","Allegany County","006-006","06","01B","REP Delegates","06","Robert Vincent Johnson, II (Haley)","REP","","4","11","9","0","0" 
"01","Allegany County","006-006","06","01B","REP Delegates","06","Seth Schwartz (Haley)","REP","","3","12","10","0","0" 
"01","Allegany County","006-006","06","01B","REP Delegates","06","Jim Shalleck (Haley)","REP","","3","9","9","0","0" 
"01","Allegany County","006-006","06","01B","REP Alternates","06","Joeylynn Hough (Trump)","REP","Y","15","129","26","5","0" 
"01","Allegany County","006-006","06","01B","REP Alternates","06","Matthew E. Iager (Haley)","REP","","4","12","8","0","0" 
"01","Allegany County","006-006","06","01B","REP Alternates","06","Randy Leatherman (Trump)","REP","Y","15","129","27","5","0" 
"01","Allegany County","006-006","06","01B","REP Alternates","06","Brian P. Sweeney (Haley)","REP","","3","9","9","0","0" 
"01","Allegany County","006-006","06","01B","REP Alternates","06","Seth Edward Wilson (Trump)","REP","Y","15","122","28","5","0" 
"01","Allegany County","007-001","06","01B","President - Vice Pres","","Nikki R. Haley","REP","","3","18","9","2","0" 
"01","Allegany County","007-001","06","01B","President - Vice Pres","","Donald J. Trump","REP","Y","23","162","20","5","4" 
"01","Allegany County","007-001","06","01B","President - Vice Pres","06","Nikki R. Haley","REP","","3","18","9","2","0" 
"01","Allegany County","007-001","06","01B","President - Vice Pres","06","Donald J. Trump","REP","Y","23","162","20","5","4" 
"01","Allegany County","007-001","06","01B","U.S. Senator","","Moe H. Barakat","REP","","0","1","0","0","0" 
"01","Allegany County","007-001","06","01B","U.S. Senator","","Chris Chaffee","REP","","0","4","0","0","0" 
"01","Allegany County","007-001","06","01B","U.S. Senator","","Robin Ficker","REP","","13","78","6","1","4" 
"01","Allegany County","007-001","06","01B","U.S. Senator","","Lorie R. Friend","REP","","0","13","0","0","0" 
"01","Allegany County","007-001","06","01B","U.S. Senator","","Larry Hogan","REP","Y","12","81","22","6","0" 
"01","Allegany County","007-001","06","01B","U.S. Senator","","John A. Myrick","REP","","0","1","0","0","0" 
"01","Allegany County","007-001","06","01B","U.S. Senator","","Laban Y. Seyoum","REP","","0","0","0","0","0" 
"01","Allegany County","007-001","06","01B","U.S. Congress","06","Dan Cox","REP","","9","46","9","2","0" 
"01","Allegany County","007-001","06","01B","U.S. Congress","06","Chris Hyser","REP","","0","2","3","0","0" 
"01","Allegany County","007-001","06","01B","U.S. Congress","06","Neil C. Parrott","REP","Y","13","104","9","4","4" 
"01","Allegany County","007-001","06","01B","U.S. Congress","06","Todd A. Puglisi","REP","","0","1","1","1","0" 
"01","Allegany County","007-001","06","01B","U.S. Congress","06","Mariela Roca","REP","","1","16","3","0","0" 
"01","Allegany County","007-001","06","01B","U.S. Congress","06","Tom Royals","REP","","0","4","0","0","0" 
"01","Allegany County","007-001","06","01B","U.S. Congress","06","Brenda J. Thiam","REP","","2","1","3","0","0" 
"01","Allegany County","007-001","06","01B","REP Delegates","06","Barrie S. Ciliberti (Trump)","REP","Y","19","138","18","5","4" 
"01","Allegany County","007-001","06","01B","REP Delegates","06","Jerry DeWolf (Trump)","REP","Y","18","142","18","5","4" 
"01","Allegany County","007-001","06","01B","REP Delegates","06","Derek J. Harvey (Trump)","REP","Y","19","142","20","5","4" 
"01","Allegany County","007-001","06","01B","REP Delegates","06","Robert Vincent Johnson, II (Haley)","REP","","5","16","7","2","0" 
"01","Allegany County","007-001","06","01B","REP Delegates","06","Seth Schwartz (Haley)","REP","","2","16","8","2","0" 
"01","Allegany County","007-001","06","01B","REP Delegates","06","Jim Shalleck (Haley)","REP","","3","14","8","2","0" 
"01","Allegany County","007-001","06","01B","REP Alternates","06","Joeylynn Hough (Trump)","REP","Y","19","143","18","4","4" 
"01","Allegany County","007-001","06","01B","REP Alternates","06","Matthew E. Iager (Haley)","REP","","1","23","9","2","1" 
"01","Allegany County","007-001","06","01B","REP Alternates","06","Randy Leatherman (Trump)","REP","Y","21","136","18","4","4" 
"01","Allegany County","007-001","06","01B","REP Alternates","06","Brian P. Sweeney (Haley)","REP","","4","19","7","2","0" 
"01","Allegany County","007-001","06","01B","REP Alternates","06","Seth Edward Wilson (Trump)","REP","Y","19","132","17","5","3" 
"01","Allegany County","007-002","06","01A","President - Vice Pres","","Nikki R. Haley","REP","","3","22","7","2","0" 
"01","Allegany County","007-002","06","01A","President - Vice Pres","","Donald J. Trump","REP","Y","8","208","31","5","0" 
"01","Allegany County","007-002","06","01A","President - Vice Pres","06","Nikki R. Haley","REP","","3","22","7","2","0" 
"01","Allegany County","007-002","06","01A","President - Vice Pres","06","Donald J. Trump","REP","Y","8","208","31","5","0" 
"01","Allegany County","007-002","06","01A","U.S. Senator","","Moe H. Barakat","REP","","2","1","0","0","0" 
"01","Allegany County","007-002","06","01A","U.S. Senator","","Chris Chaffee","REP","","0","9","1","0","0" 
"01","Allegany County","007-002","06","01A","U.S. Senator","","Robin Ficker","REP","","2","89","10","0","0" 
"01","Allegany County","007-002","06","01A","U.S. Senator","","Lorie R. Friend","REP","","0","11","0","0","0" 
"01","Allegany County","007-002","06","01A","U.S. Senator","","Larry Hogan","REP","Y","7","116","23","7","0" 
"01","Allegany County","007-002","06","01A","U.S. Senator","","John A. Myrick","REP","","0","4","3","0","0" 
"01","Allegany County","007-002","06","01A","U.S. Senator","","Laban Y. Seyoum","REP","","0","1","0","0","0" 
"01","Allegany County","007-002","06","01A","U.S. Congress","06","Dan Cox","REP","","4","61","13","3","0" 
"01","Allegany County","007-002","06","01A","U.S. Congress","06","Chris Hyser","REP","","0","9","2","0","0" 
"01","Allegany County","007-002","06","01A","U.S. Congress","06","Neil C. Parrott","REP","Y","5","127","18","2","0" 
